iter	Passed	Remaining
459	794	933
460	796	931
461	797	928
462	799	926
463	800	924
464	801	921
465	802	919
466	803	917
467	804	914
468	805	912
469	806	909
470	807	907
471	808	904
472	810	902
473	812	901
474	813	899
475	814	896
476	815	894
477	816	891
478	817	889
479	818	887
480	820	885
481	822	884
482	825	883
483	827	882
484	830	881
485	831	879
486	832	877
487	833	874
488	834	872
489	835	869
490	837	867
491	838	865
492	839	863
493	840	860
494	842	859
495	843	857
496	844	854
497	845	852
498	847	850
499	848	848
500	849	846
501	850	843
502	851	841
503	852	839
504	854	837
505	855	835
506	857	833
507	858	831
508	860	830
509	861	827
510	862	825
511	863	823
512	864	820
513	865	818
514	866	816
515	867	814
516	868	811
517	870	809
518	871	807
519	872	805
520	874	803
521	875	801
522	876	799
523	878	798
524	880	796
525	881	793
526	882	791
527	883	789
528	884	787
529	885	785
530	886	783
531	888	781
532	890	779
533	891	777
534	892	775
535	893	773
536	894	771
537	895	769
538	896	766
539	897	764
540	898	762
541	899	760
542	901	759
543	903	757
544	904	754
545	905	752
546	906	750
547	907	748
548	908	746
549	909	744
550	910	742
551	912	740
552	913	738
553	914	736
554	916	734
555	917	732
556	920	731
557	921	729
558	922	727
559	923	725
560	925	724
561	926	722
562	927	720
563	929	718
564	930	716
565	932	715
566	933	713
567	935	711
568	936	709
569	938	707
570	939	706
571	941	704
572	942	702
573	943	700
574	947	699
575	948	698
576	950	697
577	952	695
578	953	693
579	954	691
580	956	689
581	957	687
582	958	685
583	960	683
584	961	682
585	962	680
586	964	678
587	965	676
588	966	674
589	969	673
590	970	671
591	971	669
592	972	667
593	973	665
594	974	663
595	976	662
596	977	660
597	979	658
598	980	656
599	981	654
600	982	652
601	983	650
602	985	648
603	986	646
604	987	644
605	988	642
606	989	640
607	990	638
608	992	637
609	993	635
610	994	633
611	995	631
612	996	629
613	997	627
614	999	625
615	1000	623
616	1001	621
617	1002	619
618	1003	617
619	1004	615
620	1006	614
621	1007	612
622	1010	611
623	1011	609
624	1012	607
625	1013	605
626	1014	603
627	1016	601
628	1017	600
629	1018	598
630	1020	596
631	1022	595
632	1024	593
633	1025	592
634	1027	590
635	1028	588
636	1029	586
637	1030	584
638	1031	583
639	1033	581
640	1034	579
641	1037	578
642	1038	576
643	1040	575
644	1042	573
645	1043	571
646	1044	569
647	1046	568
648	1047	566
649	1048	564
650	1049	562
651	1052	561
652	1053	560
653	1055	558
654	1056	556
655	1057	554
656	1059	552
657	1060	551
658	1061	549
659	1063	547
660	1064	546
661	1068	545
662	1070	544
663	1071	542
664	1073	540
665	1074	538
666	1076	537
667	1077	535
668	1078	533
669	1079	531
670	1080	529
671	1083	528
672	1084	526
673	1085	525
674	1086	523
675	1089	522
676	1091	520
677	1092	518
678	1093	516
679	1094	515
680	1096	513
681	1098	512
682	1100	510
683	1102	509
684	1103	507
685	1104	505
686	1105	503
687	1106	502
688	1108	500
689	1109	498
690	1110	496
691	1112	494
692	1113	493
693	1114	491
694	1115	489
695	1116	487
696	1117	485
697	1118	484
698	1120	482
699	1121	480
700	1122	478
701	1123	476
702	1124	475
703	1126	473
704	1128	472
705	1130	470
706	1131	468
707	1132	467
708	1133	465
709	1134	463
710	1136	461
711	1137	459
712	1138	458
713	1139	456
714	1140	454
715	1142	453
716	1143	451
717	1144	449
718	1145	447
719	1146	446
720	1147	444
721	1149	442
722	1150	440
723	1151	438
724	1152	437
725	1153	435
726	1154	433
727	1156	432
728	1157	430
729	1159	428
730	1160	427
731	1161	425
732	1162	423
733	1163	421
734	1165	420
735	1166	418
736	1167	416
737	1168	414
738	1169	413
739	1170	411
740	1172	409
741	1173	408
742	1174	406
743	1175	404
744	1176	402
745	1178	401
746	1179	399
747	1180	397
748	1181	395
749	1182	394
750	1183	392
751	1184	390
752	1185	389
753	1187	387
754	1189	385
755	1190	384
756	1191	382
757	1192	380
758	1193	378
759	1194	377
760	1195	375
761	1196	373
762	1198	372
763	1199	370
764	1200	368
765	1201	367
766	1203	365
767	1204	363
768	1205	362
769	1206	360
770	1207	358
771	1208	357
772	1209	355
773	1211	353
774	1212	351
775	1213	350
776	1214	348
777	1216	346
778	1217	345
779	1219	343
780	1220	342
781	1221	340
782	1222	338
783	1223	337
784	1225	335
785	1226	333
786	1227	332
787	1228	330
788	1229	328
789	1231	327
790	1232	325
791	1233	324
792	1235	322
793	1236	320
794	1237	319
795	1238	317
796	1239	315
797	1240	314
798	1241	312
799	1243	310
800	1244	309
801	1245	307
802	1247	305
803	1248	304
804	1249	302
805	1250	301
806	1252	299
807	1253	297
808	1254	296
809	1255	294
810	1256	292
811	1257	291
812	1258	289
813	1260	287
814	1262	286
815	1263	284
816	1264	283
817	1265	281
818	1266	279
819	1268	278
820	1269	276
821	1270	275
822	1272	273
823	1273	271
824	1274	270
825	1276	268
826	1278	267
827	1280	265
828	1281	264
829	1282	262
830	1283	261
831	1284	259
832	1286	257
833	1287	256
834	1288	254
835	1289	252
836	1290	251
837	1292	249
838	1293	248
839	1294	246
840	1295	244
841	1296	243
842	1299	242
843	1300	240
844	1301	238
845	1302	237
846	1303	235
847	1304	233
848	1307	232
849	1310	231
850	1311	229
851	1313	228
852	1314	226
853	1315	224
854	1317	223
855	1318	221
856	1319	220
857	1320	218
858	1322	217
859	1323	215
860	1324	213
861	1325	212
862	1326	210
863	1327	208
864	1328	207
865	1329	205
866	1330	204
867	1332	202
868	1333	200
869	1335	199
870	1336	197
871	1338	196
872	1339	194
873	1340	193
874	1341	191
875	1342	190
876	1343	188
877	1344	186
878	1346	185
879	1347	183
880	1348	182
881	1350	180
882	1351	179
883	1352	177
884	1353	175
885	1354	174
886	1355	172
887	1356	171
888	1358	169
889	1359	168
890	1360	166
891	1361	164
892	1362	163
893	1363	161
894	1365	160
895	1367	158
896	1368	157
897	1369	155
898	1370	153
899	1371	152
900	1372	150
901	1373	149
902	1374	147
903	1375	146
904	1376	144
905	1378	142
906	1379	141
907	1381	139
908	1382	138
909	1383	136
910	1384	135
911	1385	133
912	1386	132
913	1387	130
914	1388	129
915	1390	127
916	1391	125
917	1392	124
918	1394	122
919	1396	121
920	1397	119
921	1398	118
922	1399	116
923	1400	115
924	1402	113
925	1403	112
926	1404	110
927	1405	109
928	1406	107
929	1408	105
930	1410	104
931	1412	103
932	1413	101
933	1414	99
934	1416	98
935	1417	96
936	1418	95
937	1419	93
938	1420	92
939	1421	90
940	1422	89
941	1424	87
942	1425	86
943	1426	84
944	1427	83
945	1429	81
946	1432	80
947	1433	78
948	1434	77
949	1435	75
950	1436	74
951	1437	72
952	1439	70
953	1441	69
954	1442	67
955	1443	66
956	1444	64
957	1445	63
958	1446	61
959	1448	60
960	1449	58
961	1450	57
962	1451	55
963	1452	54
964	1454	52
965	1455	51
966	1457	49
967	1458	48
968	1459	46
969	1461	45
970	1462	43
971	1463	42
972	1464	40
973	1465	39
974	1466	37
975	1468	36
976	1469	34
977	1471	33
978	1472	31
979	1473	30
980	1474	28
981	1476	27
982	1477	25
983	1478	24
984	1479	22
985	1480	21
986	1481	19
987	1482	18
988	1485	16
989	1486	15
990	1488	13
991	1489	12
992	1490	10
993	1491	9
994	1492	7
995	1493	5
996	1494	4
997	1495	2
998	1496	1
999	1497	0
